fold,model,RMSE,MAE,R2
1,persistence,11.549854278564453,7.4664812088012695,0.4764235534017667
1,lstm,11.266754150390625,6.913634300231934,0.5017759115602065
2,persistence,6.877768516540527,4.820103168487549,0.14274046042019706
2,lstm,6.555375099182129,4.6767377853393555,0.2212244176374284
3,persistence,6.53759241104126,4.454830646514893,-0.0032521039643806926
3,lstm,5.875873565673828,3.956949472427368,0.18956293143612102
4,persistence,13.953503608703613,8.25492000579834,-0.09833929108970496
4,lstm,11.890453338623047,6.91175651550293,0.20243368076459967
5,persistence,7.9183220863342285,4.822128772735596,-0.19995755450097819
5,lstm,6.430650234222412,3.806603193283081,0.20857574606740859
